n,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
2136,41.9307,14073724,3039924384,0.0137693,4608,995328,0.0137381,4608,995328
2144,42.1504,14147452,3055849632,0.01375,4608,995328,0.0137212,4608,995328
2152,42.3701,14221180,3071774880,0.0137352,4608,995328,0.0137248,4608,995328
2160,42.5898,14294908,3087700128,0.013744,4608,995328,0.0137396,4608,995328
2168,42.8098,14368636,3103625376,0.0137733,4608,995328,0.0137433,4608,995328
2176,43.0296,14442364,3119550624,0.013753,4608,995328,0.0137118,4608,995328
2184,43.2489,14516092,3135475872,0.0137044,4608,995328,0.0136709,4608,995328
2192,43.4683,14589820,3151401120,0.0137062,4608,995328,0.013691,4608,995328
2200,43.6872,14663548,3167326368,0.0137155,4608,995328,0.0136924,4608,995328
2208,43.9064,14737276,3183251616,0.0137316,4608,995328,0.0136866,4608,995328
2216,44.1255,14811004,3199176864,0.0137458,4608,995328,0.0137175,4608,995328
2224,44.3449,14884732,3215102112,0.0137256,4608,995328,0.0136855,4608,995328
2232,44.5641,14958460,3231027360,0.0137074,4608,995328,0.013696,4608,995328
2240,44.7837,15032188,3246952608,0.0137316,4608,995328,0.0136887,4608,995328
2248,45.0031,15105916,3262877856,0.0137539,4608,995328,0.0137197,4608,995328
2256,45.2225,15179644,3278803104,0.0137121,4608,995328,0.0137161,4608,995328
2264,45.4416,15253372,3294728352,0.0137456,4608,995328,0.0137179,4608,995328
2272,45.6609,15327100,3310653600,0.0137496,4608,995328,0.0137339,4608,995328
2280,45.8802,15400828,3326578848,0.0137492,4608,995328,0.013695,4608,995328
2288,46.0997,15474556,3342504096,0.0137213,4608,995328,0.0136929,4608,995328
2296,46.3192,15548284,3358429344,0.0137374,4608,995328,0.013703,4608,995328
2304,46.5384,15622012,3374354592,0.0137131,4608,995328,0.0136868,4608,995328
2312,46.7579,15695740,3390279840,0.0137357,4608,995328,0.0137031,4608,995328
2320,46.9772,15769468,3406205088,0.0137357,4608,995328,0.0137027,4608,995328
2328,47.1963,15843196,3422130336,0.0137193,4608,995328,0.0137006,4608,995328
2336,47.4153,15916924,3438055584,0.0137263,4608,995328,0.0137173,4608,995328
2344,47.6344,15990652,3453980832,0.0137162,4608,995328,0.0136906,4608,995328
2352,47.8533,16064380,3469906080,0.0137225,4608,995328,0.0136911,4608,995328
2360,48.0728,16138108,3485831328,0.0137307,4608,995328,0.0137203,4608,995328
2368,48.2919,16211836,3501756576,0.013705,4608,995328,0.0137039,4608,995328
2376,48.5109,16285564,3517681824,0.0137303,4608,995328,0.0137099,4608,995328
2384,48.7304,16359292,3533607072,0.0137436,4608,995328,0.0137104,4608,995328
2392,48.9501,16433020,3549532320,0.0137609,4608,995328,0.0137306,4608,995328
2400,49.1697,16506748,3565457568,0.0137249,4608,995328,0.0137075,4608,995328
2408,49.389,16580476,3581382816,0.0137473,4608,995328,0.0137041,4608,995328
2416,49.6084,16654204,3597308064,0.0137094,4608,995328,0.0136799,4608,995328
2424,49.8274,16727932,3613233312,0.0137047,4608,995328,0.0136755,4608,995328
2432,50.0464,16801660,3629158560,0.0137142,4608,995328,0.013681,4608,995328
2440,50.2652,16875388,3645083808,0.0137047,4608,995328,0.0136937,4608,995328
2448,50.4848,16949116,3661009056,0.0137444,4608,995328,0.0137085,4608,995328
2456,50.704,17022844,3676934304,0.013742,4608,995328,0.013696,4608,995328
2464,50.9232,17096572,3692859552,0.0137149,4608,995328,0.0137069,4608,995328
2472,51.1429,17170300,3708784800,0.0137549,4608,995328,0.0137055,4608,995328
2480,51.3621,17244028,3724710048,0.0137109,4608,995328,0.0137014,4608,995328
2488,51.5813,17317756,3740635296,0.0137223,4608,995328,0.0136828,4608,995328
2496,51.8002,17391484,3756560544,0.0137204,4608,995328,0.0136876,4608,995328
2504,52.0196,17465212,3772485792,0.0137326,4608,995328,0.013701,4608,995328
2512,52.2385,17538940,3788411040,0.0137043,4608,995328,0.0136926,4608,995328
