n,rar,rar_accesses,rar_bytes
16687744,0.000339049,234,35568
16687616,0.000328262,234,35568
16687488,0.000328272,234,35568
16687360,0.000329349,234,35568
16687232,0.000329881,234,35568
16687104,0.000329777,234,35568
16686976,0.000329165,234,35568
16686848,0.000328566,234,35568
16686720,0.00032716,234,35568
16686592,0.000336543,234,35568
16686464,0.000328732,234,35568
16686336,0.000327353,234,35568
16686208,0.000328846,234,35568
16686080,0.000327661,234,35568
16685952,0.00032785,234,35568
16685824,0.000328622,234,35568
16685696,0.000337266,234,35568
16685568,0.000328868,234,35568
16685440,0.000327143,234,35568
16685312,0.000328034,234,35568
16685184,0.000328464,234,35568
16685056,0.000326767,234,35568
16684928,0.000326869,234,35568
16684800,0.000338195,234,35568
16684672,0.000326731,234,35568
16684544,0.000327442,234,35568
16684416,0.000328232,234,35568
16684288,0.000328378,234,35568
16684160,0.000329253,234,35568
16684032,0.000330289,234,35568
16683904,0.000328702,234,35568
16683776,0.000328683,234,35568
16683648,0.000327918,234,35568
16683520,0.000328171,234,35568
16683392,0.000330146,234,35568
16683264,0.000330038,234,35568
16683136,0.000330597,234,35568
16683008,0.000342954,234,35568
16682880,0.00032914,234,35568
16682752,0.000329612,234,35568
16682624,0.000327832,234,35568
16682496,0.000329498,234,35568
16682368,0.000329264,234,35568
16682240,0.000328943,234,35568
16682112,0.000326934,234,35568
16681984,0.000328864,234,35568
16681856,0.000327691,234,35568
16681728,0.000339147,234,35568
16681600,0.000328486,234,35568
16681472,0.000329294,234,35568
16681344,0.000331439,234,35568
16681216,0.000327197,234,35568
16681088,0.000330661,234,35568
16680960,0.000329691,234,35568
16680832,0.000336784,234,35568
16680704,0.000330189,234,35568
16680576,0.000329815,234,35568
16680448,0.00032778,234,35568
16680320,0.000332085,234,35568
16680192,0.00032906,234,35568
16680064,0.0003312,234,35568
16679936,0.000328595,234,35568
16679808,0.00034388,234,35568
16679680,0.000327115,234,35568
16679552,0.000335725,234,35568
16679424,0.000331294,234,35568
16679296,0.000331,234,35568
16679168,0.00032836,234,35568
16679040,0.000328034,234,35568
16678912,0.000329762,234,35568
16678784,0.000327096,234,35568
16678656,0.000328681,234,35568
16678528,0.000329154,234,35568
16678400,0.000329112,234,35568
16678272,0.000341733,234,35568
16678144,0.000329049,234,35568
16678016,0.00032919,234,35568
16677888,0.000329876,234,35568
16677760,0.000328421,234,35568
16677632,0.000338968,234,35568
16677504,0.000329958,234,35568
16677376,0.000336158,234,35568
16677248,0.000329596,234,35568
16677120,0.000330802,234,35568
16676992,0.000339145,234,35568
16676864,0.00033148,234,35568
16676736,0.000335788,234,35568
16676608,0.000327585,234,35568
16676480,0.000326809,234,35568
16676352,0.000328096,234,35568
16676224,0.000327866,234,35568
16676096,0.000339532,234,35568
16675968,0.000330182,234,35568
16675840,0.000337458,234,35568
16675712,0.000328689,234,35568
16675584,0.000328487,234,35568
16675456,0.000329322,234,35568
16675328,0.000329099,234,35568
16675200,0.000339199,234,35568
16675072,0.000329924,234,35568
16674944,0.000330046,234,35568
16674816,0.000328175,234,35568
16674688,0.000328587,234,35568
16674560,0.00033869,234,35568
16674432,0.000328498,234,35568
16674304,0.000335065,234,35568
16674176,0.000328134,234,35568
16674048,0.000326758,234,35568
16673920,0.000331575,234,35568
16673792,0.000329039,234,35568
16673664,0.000329712,234,35568
16673536,0.000329737,234,35568
16673408,0.000326725,234,35568
16673280,0.000338886,234,35568
16673152,0.000327074,234,35568
16673024,0.000341992,234,35568
16672896,0.000328911,234,35568
16672768,0.000330792,234,35568
16672640,0.000328675,234,35568
16672512,0.000328013,234,35568
16672384,0.000329309,234,35568
16672256,0.000329529,234,35568
16672128,0.000335487,234,35568
16672000,0.000328935,234,35568
16671872,0.00032871,234,35568
16671744,0.000328806,234,35568
16671616,0.000327482,234,35568
16671488,0.000327753,234,35568
16671360,0.000330167,234,35568
16671232,0.000341064,234,35568
16671104,0.00032892,234,35568
16670976,0.000338821,234,35568
16670848,0.000328334,234,35568
16670720,0.000331549,234,35568
16670592,0.000328737,234,35568
16670464,0.000329335,234,35568
16670336,0.000341045,234,35568
16670208,0.000328648,234,35568
16670080,0.000330669,234,35568
16669952,0.000338133,234,35568
16669824,0.000329979,234,35568
16669696,0.000330445,234,35568
16669568,0.000328882,234,35568
16669440,0.000328642,234,35568
16669312,0.000327852,234,35568
16669184,0.000328297,234,35568
16669056,0.000338811,234,35568
16668928,0.000330872,234,35568
16668800,0.000329983,234,35568
16668672,0.000329733,234,35568
16668544,0.000328999,234,35568
16668416,0.000337148,234,35568
16668288,0.000329994,234,35568
16668160,0.000328365,234,35568
16668032,0.00033962,234,35568
16667904,0.000329237,234,35568
16667776,0.000329461,234,35568
16667648,0.000328538,234,35568
16667520,0.000330073,234,35568
16667392,0.000326106,234,35568
16667264,0.000327918,234,35568
16667136,0.000328229,234,35568
16667008,0.000330707,234,35568
16666880,0.000329132,234,35568
16666752,0.000339895,234,35568
16666624,0.000328892,234,35568
16666496,0.000328714,234,35568
16666368,0.000328505,234,35568
16666240,0.000340656,234,35568
16666112,0.000328229,234,35568
16665984,0.000328229,234,35568
16665856,0.000329349,234,35568
16665728,0.000330937,234,35568
16665600,0.000340381,234,35568
16665472,0.000330272,234,35568
16665344,0.000336228,234,35568
16665216,0.000329549,234,35568
16665088,0.000328733,234,35568
16664960,0.00034476,234,35568
16664832,0.000329153,234,35568
16664704,0.000337025,234,35568
16664576,0.000329241,234,35568
16664448,0.000328069,234,35568
16664320,0.000339899,234,35568
16664192,0.000328221,234,35568
16664064,0.00033844,234,35568
16663936,0.000328846,234,35568
16663808,0.000337738,234,35568
16663680,0.000330241,234,35568
16663552,0.00032961,234,35568
16663424,0.000329326,234,35568
16663296,0.000329694,234,35568
16663168,0.000329419,234,35568
16663040,0.000328943,234,35568
16662912,0.000329021,234,35568
16662784,0.000331263,234,35568
16662656,0.000331143,234,35568
16662528,0.000330281,234,35568
16662400,0.000326657,234,35568
16662272,0.0004237,234,35568
16662144,0.000328181,234,35568
16662016,0.000329839,234,35568
16661888,0.000338021,234,35568
16661760,0.000329281,234,35568
16661632,0.000328364,234,35568
16661504,0.000329797,234,35568
16661376,0.000325637,234,35568
16661248,0.000329467,234,35568
16661120,0.000327978,234,35568
16660992,0.0003285,234,35568
16660864,0.000330711,234,35568
16660736,0.000330132,234,35568
16660608,0.000340552,234,35568
16660480,0.000331633,234,35568
16660352,0.00033655,234,35568
