n,fill,fill_accesses,fill_bytes
5976,0.921346,659128,100187456
5984,0.922763,660120,100338240
5992,0.924156,661112,100489024
6000,0.925585,662104,100639808
6008,0.926947,663096,100790592
6016,0.92837,664088,100941376
6024,0.929749,665080,101092160
6032,0.931106,666072,101242944
6040,0.932473,667064,101393728
6048,0.933826,668056,101544512
6056,0.935184,669048,101695296
6064,0.936545,670040,101846080
6072,0.937901,671032,101996864
6080,0.939268,672024,102147648
6088,0.94064,673016,102298432
6096,0.942018,674008,102449216
6104,0.943374,675000,102600000
6112,0.94475,675992,102750784
6120,0.946111,676984,102901568
6128,0.947515,677976,103052352
6136,0.948933,678968,103203136
6144,0.95029,679960,103353920
6152,0.951647,680952,103504704
6160,0.953037,681944,103655488
6168,0.954388,682936,103806272
6176,0.955745,683928,103957056
6184,0.957112,684920,104107840
6192,0.95852,685912,104258624
6200,0.959886,686904,104409408
6208,0.961268,687896,104560192
6216,0.962651,688888,104710976
6224,0.964046,689880,104861760
6232,0.965482,690872,105012544
6240,0.966896,691864,105163328
6248,0.968315,692856,105314112
6256,0.969695,693848,105464896
6264,0.971107,694840,105615680
6272,0.972475,695832,105766464
6280,0.973835,696824,105917248
6288,0.975236,697816,106068032
6296,0.976602,698808,106218816
6304,0.977955,699800,106369600
6312,0.979321,700792,106520384
6320,0.980691,701784,106671168
6328,0.982047,702776,106821952
6336,0.983399,703768,106972736
6344,0.984765,704760,107123520
6352,0.986117,705752,107274304
6360,0.987475,706744,107425088
6368,0.98885,707736,107575872
6376,0.990204,708728,107726656
6384,0.991561,709720,107877440
6392,0.992929,710712,108028224
6400,0.994285,711704,108179008
6408,0.995643,712696,108329792
6416,0.997005,713688,108480576
6424,0.998361,714680,108631360
6432,0.999724,715672,108782144
6440,1.00109,716664,108932928
6448,1.00251,717656,109083712
6456,1.00392,718648,109234496
6464,1.00536,719640,109385280
6472,1.00675,720632,109536064
6480,1.00816,721624,109686848
6488,1.00956,722616,109837632
6496,1.01091,723608,109988416
6504,1.01227,724600,110139200
6512,1.01364,725592,110289984
6520,1.015,726584,110440768
6528,1.01638,727576,110591552
6536,1.01773,728568,110742336
6544,1.0191,729560,110893120
6552,1.02047,730552,111043904
6560,1.02183,731544,111194688
6568,1.02319,732536,111345472
6576,1.02456,733528,111496256
6584,1.02592,734520,111647040
6592,1.02728,735512,111797824
6600,1.02865,736504,111948608
6608,1.03002,737496,112099392
6616,1.03137,738488,112250176
6624,1.03275,739480,112400960
6632,1.03411,740472,112551744
6640,1.03547,741464,112702528
6648,1.03684,742456,112853312
6656,1.03821,743448,113004096
6664,1.03958,744440,113154880
6672,1.04095,745432,113305664
6680,1.04231,746424,113456448
6688,1.04367,747416,113607232
6696,1.04504,748408,113758016
6704,1.0464,749400,113908800
6712,1.04775,750392,114059584
6720,1.04912,751384,114210368
6728,1.05048,752376,114361152
6736,1.05184,753368,114511936
6744,1.05321,754360,114662720
6752,1.05457,755352,114813504
6760,1.05592,756344,114964288
6768,1.05729,757336,115115072
6776,1.05865,758328,115265856
6784,1.06001,759320,115416640
6792,1.06139,760312,115567424
6800,1.06281,761304,115718208
6808,1.06422,762296,115868992
6816,1.06565,763288,116019776
6824,1.06707,764280,116170560
6832,1.06846,765272,116321344
6840,1.06984,766264,116472128
6848,1.0712,767256,116622912
6856,1.07257,768248,116773696
6864,1.07393,769240,116924480
6872,1.07529,770232,117075264
6880,1.07666,771224,117226048
6888,1.07802,772216,117376832
6896,1.07939,773208,117527616
6904,1.08076,774200,117678400
6912,1.08218,775192,117829184
6920,1.0836,776184,117979968
6928,1.08503,777176,118130752
6936,1.08645,778168,118281536
6944,1.08785,779160,118432320
6952,1.08925,780152,118583104
6960,1.09061,781144,118733888
6968,1.09196,782136,118884672
6976,1.09333,783128,119035456
6984,1.09469,784120,119186240
6992,1.09604,785112,119337024
7000,1.09741,786104,119487808
7008,1.09878,787096,119638592
7016,1.10014,788088,119789376
7024,1.10152,789080,119940160
7032,1.10287,790072,120090944
7040,1.10423,791064,120241728
7048,1.10561,792056,120392512
7056,1.10696,793048,120543296
7064,1.10833,794040,120694080
7072,1.1097,795032,120844864
7080,1.11105,796024,120995648
7088,1.11242,797016,121146432
7096,1.11378,798008,121297216
7104,1.11514,799000,121448000
7112,1.1165,799992,121598784
7120,1.11786,800984,121749568
7128,1.11922,801976,121900352
7136,1.12059,802968,122051136
7144,1.12195,803960,122201920
7152,1.12331,804952,122352704
7160,1.12468,805944,122503488
7168,1.12603,806936,122654272
7176,1.12739,807928,122805056
7184,1.12877,808920,122955840
7192,1.13013,809912,123106624
7200,1.13155,810904,123257408
7208,1.13298,811896,123408192
7216,1.1344,812888,123558976
7224,1.13579,813880,123709760
7232,1.13721,814872,123860544
7240,1.13863,815864,124011328
7248,1.14,816856,124162112
7256,1.14137,817848,124312896
7264,1.14273,818840,124463680
7272,1.14409,819832,124614464
7280,1.14546,820824,124765248
7288,1.14682,821816,124916032
7296,1.14818,822808,125066816
7304,1.14956,823800,125217600
7312,1.15091,824792,125368384
7320,1.15227,825784,125519168
7328,1.15364,826776,125669952
7336,1.155,827768,125820736
7344,1.15637,828760,125971520
7352,1.15773,829752,126122304
7360,1.1591,830744,126273088
7368,1.16047,831736,126423872
7376,1.16189,832728,126574656
7384,1.16331,833720,126725440
7392,1.16469,834712,126876224
7400,1.1661,835704,127027008
7408,1.16753,836696,127177792
7416,1.16896,837688,127328576
7424,1.17032,838680,127479360
7432,1.17168,839672,127630144
7440,1.17305,840664,127780928
7448,1.17442,841656,127931712
7456,1.17578,842648,128082496
