n,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
2168,0.130807,93374,14192848,0.000184289,134,20368
2176,0.132285,94446,14355792,0.000184583,134,20368
2184,0.133766,95518,14518736,0.000185752,134,20368
2192,0.135254,96590,14681680,0.000184487,134,20368
2200,0.136735,97662,14844624,0.000184939,134,20368
2208,0.138211,98734,15007568,0.000186546,134,20368
2216,0.139689,99806,15170512,0.000185912,134,20368
2224,0.141175,100878,15333456,0.000185163,134,20368
2232,0.142657,101950,15496400,0.000185701,134,20368
2240,0.144141,103022,15659344,0.000186355,134,20368
2248,0.145629,104094,15822288,0.000184909,134,20368
2256,0.147117,105166,15985232,0.000185472,134,20368
2264,0.148599,106238,16148176,0.000185855,134,20368
2272,0.150104,107310,16311120,0.000185122,134,20368
2280,0.151592,108382,16474064,0.000184475,134,20368
2288,0.153082,109454,16637008,0.000186589,134,20368
2296,0.154585,110526,16799952,0.000185449,134,20368
2304,0.156092,111598,16962896,0.000185686,134,20368
2312,0.157578,112670,17125840,0.000185919,134,20368
2320,0.159075,113742,17288784,0.000186202,134,20368
2328,0.160564,114814,17451728,0.000184839,134,20368
2336,0.162048,115886,17614672,0.000185171,134,20368
2344,0.162821,116446,17699792,9.57349e-05,70,10640
2352,0.163596,117006,17784912,9.55666e-05,70,10640
2360,0.164367,117566,17870032,9.6918e-05,70,10640
2368,0.16514,118126,17955152,9.51973e-05,70,10640
2376,0.165911,118686,18040272,9.53696e-05,70,10640
2384,0.166685,119246,18125392,9.73373e-05,70,10640
2392,0.167455,119806,18210512,9.56653e-05,70,10640
2400,0.168232,120366,18295632,9.58864e-05,70,10640
2408,0.169004,120926,18380752,9.67664e-05,70,10640
2416,0.169791,121486,18465872,9.62319e-05,70,10640
2424,0.170563,122046,18550992,9.58479e-05,70,10640
2432,0.171347,122606,18636112,9.59454e-05,70,10640
2440,0.172121,123166,18721232,9.59119e-05,70,10640
2448,0.172896,123726,18806352,9.61265e-05,70,10640
2456,0.173682,124286,18891472,9.58292e-05,70,10640
2464,0.174456,124846,18976592,9.58137e-05,70,10640
2472,0.175232,125406,19061712,9.71701e-05,70,10640
2480,0.176018,125966,19146832,9.60744e-05,70,10640
2488,0.176797,126526,19231952,9.70855e-05,70,10640
2496,0.177571,127086,19317072,9.60409e-05,70,10640
2504,0.178369,127646,19402192,9.59103e-05,70,10640
2512,0.179145,128206,19487312,9.6966e-05,70,10640
2520,0.179918,128766,19572432,9.60215e-05,70,10640
2528,0.180704,129326,19657552,9.60391e-05,70,10640
2536,0.181477,129886,19742672,9.69433e-05,70,10640
2544,0.182251,130446,19827792,9.62684e-05,70,10640
2552,0.183028,131006,19912912,9.63716e-05,70,10640
2560,0.183802,131566,19998032,9.7884e-05,70,10640
2568,0.184577,132126,20083152,9.62194e-05,70,10640
2576,0.185353,132686,20168272,9.60045e-05,70,10640
2584,0.18613,133246,20253392,9.73551e-05,70,10640
2592,0.186917,133806,20338512,9.62705e-05,70,10640
2600,0.187691,134366,20423632,9.58215e-05,70,10640
2608,0.188467,134926,20508752,9.68817e-05,70,10640
2616,0.189243,135486,20593872,9.61438e-05,70,10640
2624,0.190019,136046,20678992,9.61882e-05,70,10640
2632,0.190808,136606,20764112,5.76448e-05,42,6444
2640,0.191071,136798,20793296,3.21656e-05,24,3648
2648,0.191336,136990,20822480,3.21638e-05,24,3648
2656,0.191604,137182,20851664,3.2185e-05,24,3648
2664,0.191871,137374,20880848,3.3091e-05,24,3648
2672,0.192141,137566,20910032,3.21768e-05,24,3648
2680,0.19241,137758,20939216,3.22248e-05,24,3648
2688,0.192678,137950,20968400,3.22186e-05,24,3648
2696,0.192947,138142,20997584,3.3252e-05,24,3648
2704,0.193215,138334,21026768,3.22247e-05,24,3648
2712,0.193482,138526,21055952,3.22245e-05,24,3648
2720,0.19375,138718,21085136,3.22678e-05,24,3648
2728,0.194019,138910,21114320,3.23072e-05,24,3648
2736,0.194288,139102,21143504,3.22484e-05,24,3648
2744,0.194553,139294,21172688,3.22312e-05,24,3648
2752,0.19482,139486,21201872,3.21377e-05,24,3648
2760,0.195089,139678,21231056,3.21767e-05,24,3648
2768,0.195367,139870,21260240,3.39012e-05,24,3648
2776,0.195635,140062,21289424,3.21715e-05,24,3648
2784,0.195903,140254,21318608,3.2172e-05,24,3648
2792,0.196172,140446,21347792,3.23239e-05,24,3648
