test,bs,n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,search,search_accesses,search_bytes,delete,delete_accesses,delete_bytes,disk,max_mem_level
domap,227,15,5.1625e-06,0,0,0,0.0259495,1080,8916320,0.0128787,540,4458160,0.0128133,540,4458160,0,0
domap,227,16,7.58775e-06,0,0,0,0.0302514,1152,10120768,0.014813,576,5060384,0.0147594,576,5060384,0,0
domap,227,17,8.75025e-06,0,0,0,0.0339727,1216,11329472,0.0166464,608,5664736,0.0166147,608,5664736,0,0
domap,227,18,1.133e-05,0,0,0,0.0390451,1288,12687136,0.0190905,644,6343568,0.0192585,644,6343568,0,0
domap,227,19,1.56548e-05,0,0,0,0.0442496,1360,14117152,0.0215933,680,7058576,0.0214487,680,7058576,0,0
domap,227,20,1.37733e-05,0,0,0,0.0494242,1424,15538656,0.0241083,712,7769328,0.023985,712,7769328,0,0
domap,4067,1,3.40875e-06,0,0,0,0.00168838,112,1511008,0.000847455,56,755504,0.000846593,56,755504,0,0
domap,4067,2,1.2165e-06,0,0,0,0.0041354,176,3744672,0.00208283,88,1872336,0.0020756,88,1872336,0,0
domap,4067,3,1.26675e-06,0,0,0,0.0080122,248,7292256,0.00403474,124,3646128,0.00403449,124,3646128,0,0
domap,4067,4,1.2815e-06,0,0,0,0.013076,320,11956672,0.00659882,160,5978336,0.00659815,160,5978336,0,0
domap,4067,5,2.3105e-06,0,0,0,0.0190668,384,17475136,0.00964133,192,8737568,0.00963705,192,8737568,0,0
domap,4067,6,2.94475e-06,0,0,0,0.0266046,456,24504608,0.0135385,228,12252304,0.013527,228,12252304,0,0
domap,4067,7,2.95e-06,0,0,0,0.0354383,528,32650912,0.0179693,264,16325456,0.017993,264,16325456,0,0
domap,4067,8,3.184e-06,0,0,0,0.0446506,592,41454176,0.0228137,296,20727088,0.0229107,296,20727088,0,0
domap,4067,9,3.1085e-06,0,0,0,0.055748,664,51965536,0.028543,332,25982768,0.0286585,332,25982768,0,0
domap,4067,10,4.3045e-06,0,0,0,0.0719325,736,63593728,0.035841,368,31796864,0.0358654,368,31796864,0,0
domap,4067,11,1.21747e-05,0,0,0,0.0893176,800,75681792,0.0437214,400,37840896,0.0433839,400,37840896,0,0
domap,4067,12,1.4529e-05,0,0,0,0.107014,872,89675040,0.0525267,436,44837520,0.0519238,436,44837520,0,0
domap,4067,13,1.53345e-05,0,0,0,0.125644,944,104785120,0.0614985,472,52392560,0.0611915,472,52392560,0,0
domap,4067,14,1.54835e-05,0,0,0,0.145466,1008,120157984,0.0712243,504,60078992,0.0708631,504,60078992,0,0
domap,4067,15,1.6406e-05,0,0,0,0.167354,1080,137633120,0.0821981,540,68816560,0.0817233,540,68816560,0,0
domap,4067,16,1.69795e-05,0,0,0,0.191223,1152,156225088,0.0938522,576,78112544,0.0933718,576,78112544,0,0
domap,4067,17,1.71335e-05,0,0,0,0.21613,1216,174882752,0.10588,608,87441376,0.105372,608,87441376,0,0
domap,4067,18,2.0397e-05,0,0,0,0.242933,1288,195839776,0.119539,644,97919888,0.118931,644,97919888,0,0
domap,4067,19,1.9292e-05,0,0,0,0.271741,1360,217913632,0.133515,680,108956816,0.132779,680,108956816,0,0
soram,32,1,1.76725e-06,2.88225e-06,1,192,3.0005e-06,2,200,3.7435e-06,2,200,2.43325e-06,2,200,0,255
soram,32,2,1.3625e-07,4.438e-06,1,576,4.201e-06,2,400,4.9925e-06,2,400,4.55125e-06,2,400,0,255
soram,32,3,5.59e-07,9.802e-06,1,1344,5.61875e-06,2,600,7.338e-06,2,600,5.6425e-06,2,600,0,255
soram,32,4,3.18e-07,2.07508e-05,1,2880,7.32675e-06,2,800,8.327e-06,2,800,8.37175e-06,2,800,0,255
soram,32,5,6.165e-07,4.31833e-05,1,5952,8.8055e-06,2,1000,1.13457e-05,2,1000,9.915e-06,2,1000,0,255
soram,32,6,6.7725e-07,9.23633e-05,1,12096,1.0457e-05,2,1200,1.16183e-05,2,1200,1.18257e-05,2,1200,0,255
soram,32,7,9.6325e-07,0.000177636,1,24384,1.23053e-05,2,1400,1.34503e-05,2,1400,1.40205e-05,2,1400,0,255
soram,32,8,7.1625e-07,0.000357922,1,48960,1.39288e-05,2,1600,1.5145e-05,2,1600,1.41855e-05,2,1600,0,255
soram,32,9,8.87e-07,0.000716383,1,98112,1.55003e-05,2,1800,1.62483e-05,2,1800,1.52355e-05,2,1800,0,255
soram,32,10,1.43475e-06,0.00143725,1,196416,1.7033e-05,2,2000,1.732e-05,2,2000,1.75448e-05,2,2000,0,255
